Lookup	ID	Ndex	Species	Forme	Type1	Type2	Ability1	Ability2	AbilityH	HP	Attack	Defense	SpAttack	SpDefense	Speed	Total	Weight	Height	Dex1	Dex2	Class	%Male	%Female	Pre-Evolution	Egg Group 1	Egg Group 2	Type Concat	Ability Concat
Herdier	507	507	Herdier	Herdier	Normal	#N/A	Intimidate	Sand Rush	Scrappy	65	80	65	35	65	60	370	32.4 lbs.	2'11"	Its dense black fur grows continuously. The high cost of keeping its hard fur properly groomed makes this a troublesome Pokémon to train.	This Pokémon obeys its master's orders faithfully. However, it refuses to listen to anything said by a person it doesn't respect.	Loyal Dog Pokémon	0.5	0.5	Lillipup	Field	#N/A	Normal	Intimidate / Sand Rush / Scrappy*
Stoutland	508	508	Stoutland	Stoutland	Normal	#N/A	Intimidate	Sand Rush	Scrappy	85	110	90	45	90	80	500	134.5 lbs.	3'11"	Intelligent, good-natured, and valiant, it's a trustworthy partner on rescue teams.	With this wise Pokémon, there could be no concern that it would ever attack people. Some parents even trust it to babysit.	Big-Hearted Pokémon	0.5	0.5	Herdier	Field	#N/A	Normal	Intimidate / Sand Rush / Scrappy*
Purrloin	509	509	Purrloin	Purrloin	Dark	#N/A	Limber	Unburden	Prankster	41	50	37	50	37	66	281	22.3 lbs.	1'04"			Devious Pokémon	0.5	0.5	#N/A	Field	#N/A	Dark	Limber / Unburden / Prankster*
Liepard	510	510	Liepard	Liepard	Dark	#N/A	Limber	Unburden	Prankster	64	88	50	88	50	106	446	82.7 lbs.	3'07"			Cruel Pokémon	0.5	0.5	Purrloin	Field	#N/A	Dark	Limber / Unburden / Prankster*
Pansage	511	511	Pansage	Pansage	Grass	#N/A	Gluttony	#N/A	Overgrow	50	53	48	53	48	64	316	23.1 lbs.	2'00"			Grass Monkey Pokémon	0.875	0.125	#N/A	Field	#N/A	Grass	Gluttony / Overgrow*
Simisage	512	512	Simisage	Simisage	Grass	#N/A	Gluttony	#N/A	Overgrow	75	98	63	98	63	101	498	67.2 lbs.	3'07"			Thorn Monkey Pokémon	0.875	0.125	Pansage	Field	#N/A	Grass	Gluttony / Overgrow*
Pansear	513	513	Pansear	Pansear	Fire	#N/A	Gluttony	#N/A	Blaze	50	53	48	53	48	64	316	24.3 lbs.	2'00"			High Temp Pokémon	0.875	0.125	#N/A	Field	#N/A	Fire	Gluttony / Blaze*
Simisear	514	514	Simisear	Simisear	Fire	#N/A	Gluttony	#N/A	Blaze	75	98	63	98	63	101	498	61.7 lbs.	3'03"			Ember Pokémon	0.875	0.125	Pansear	Field	#N/A	Fire	Gluttony / Blaze*
Panpour	515	515	Panpour	Panpour	Water	#N/A	Gluttony	#N/A	Torrent	50	53	48	53	48	64	316	29.8 lbs.	2'00"			Spray Pokémon	0.875	0.125	#N/A	Field	#N/A	Water	Gluttony / Torrent*
Simipour	516	516	Simipour	Simipour	Water	#N/A	Gluttony	#N/A	Torrent	75	98	63	98	63	101	498	63.9 lbs.	3'03"			Geyser Pokémon	0.875	0.125	Panpour	Field	#N/A	Water	Gluttony / Torrent*
Munna	517	517	Munna	Munna	Psychic	#N/A	Forewarn	Synchronize	Telepathy	76	25	45	67	55	24	292	51.4 lbs.	2'00"			Dream Eater Pokémon	0.5	0.5	#N/A	Field	#N/A	Psychic	Forewarn / Synchronize / Telepathy*
Musharna	518	518	Musharna	Musharna	Psychic	#N/A	Forewarn	Synchronize	Telepathy	116	55	85	107	95	29	487	133.4 lbs.	3'07"			Drowsing Pokémon	0.5	0.5	Munna	Field	#N/A	Psychic	Forewarn / Synchronize / Telepathy*
Pidove	519	519	Pidove	Pidove	Normal	Flying	Big Pecks	Super Luck	Rivalry	50	55	50	36	30	43	264	4.6 lbs.	1'00"			Tiny Pigeon Pokémon	0.5	0.5	#N/A	Flying	#N/A	Normal / Flying	Big Pecks / Super Luck / Rivalry*
Tranquill	520	520	Tranquill	Tranquill	Normal	Flying	Big Pecks	Super Luck	Rivalry	62	77	62	50	42	65	358	33.1 lbs.	2'00"			Wild Pigeon Pokémon	0.5	0.5	Pidove	Flying	#N/A	Normal / Flying	Big Pecks / Super Luck / Rivalry*
Unfezant	521	521	Unfezant	Unfezant	Normal	Flying	Big Pecks	Super Luck	Rivalry	80	115	80	65	55	93	488	63.9 lbs.	3'11"			Proud Pokémon	0.5	0.5	Tranquill	Flying	#N/A	Normal / Flying	Big Pecks / Super Luck / Rivalry*
Blitzle	522	522	Blitzle	Blitzle	Electric	#N/A	Lightning Rod	Motor Drive	Sap Sipper	45	60	32	50	32	76	295	65.7 lbs.	2'07"			Electrified Pokémon	0.5	0.5	#N/A	Field	#N/A	Electric	Lightning Rod / Motor Drive / Sap Sipper*
Zebstrika	523	523	Zebstrika	Zebstrika	Electric	#N/A	Lightning Rod	Motor Drive	Sap Sipper	75	100	63	80	63	116	497	175.3 lbs.	5'03"			Thunderbolt Pokémon	0.5	0.5	Blitzle	Field	#N/A	Electric	Lightning Rod / Motor Drive / Sap Sipper*
Roggenrola	524	524	Roggenrola	Roggenrola	Rock	#N/A	Sturdy	Weak Armor	Sand Force	55	75	85	25	25	15	280	39.7 lbs.	1'04"	Born deep within the ground, it compares itself with similar species, such as Geodude and Carbink, to settle which has the hardest body.	The hexagonal cavity is its ear. It walks in the direction of sounds it hears, but if the sounds cease, it panics and topples over.	Mantle Pokémon	0.5	0.5	#N/A	Mineral	#N/A	Rock	Sturdy / Weak Armor / Sand Force*
Boldore	525	525	Boldore	Boldore	Rock	#N/A	Sturdy	Weak Armor	Sand Force	70	105	105	50	40	20	390	224.9 lbs.	2'11"	Its orange crystal is a mass of energy. Just one crystal fragment would provide enough fuel for a hundred dump trucks.	It explores caves in search of underground water. It's not comfortable around water, so this Pokémon takes great care in lapping it up.	Ore Pokémon	0.5	0.5	Roggenrola	Mineral	#N/A	Rock	Sturdy / Weak Armor / Sand Force*
Gigalith	526	526	Gigalith	Gigalith	Rock	#N/A	Sturdy	Sand Stream	Sand Force	85	135	130	60	80	25	515	573.2 lbs.	5'07"	The blasts of energy it makes from sunbeams have terrifying power. However, it's not able to fire its blasts at night or on rainy days.	Known for its hefty horsepower, this Pokémon is a popular partner for construction workers.	Compressed Pokémon	0.5	0.5	Boldore	Mineral	#N/A	Rock	Sturdy / Sand Stream / Sand Force*
Woobat	527	527	Woobat	Woobat	Psychic	Flying	Unaware	Klutz	Simple	65	45	43	55	43	72	323	4.6 lbs.	1'04"			Bat Pokémon	0.5	0.5	#N/A	Field	Flying	Psychic / Flying	Unaware / Klutz / Simple*
Swoobat	528	528	Swoobat	Swoobat	Psychic	Flying	Unaware	Klutz	Simple	67	57	55	77	55	114	425	23.1 lbs.	2'11"			Courting Pokémon	0.5	0.5	Woobat	Field	Flying	Psychic / Flying	Unaware / Klutz / Simple*
Drilbur	529	529	Drilbur	Drilbur	Ground	#N/A	Sand Rush	Sand Force	Mold Breaker	60	85	40	30	45	68	328	18.7 lbs.	1'00"			Mole Pokémon	0.5	0.5	#N/A	Field	#N/A	Ground	Sand Rush / Sand Force / Mold Breaker*
Excadrill	530	530	Excadrill	Excadrill	Ground	Steel	Sand Rush	Sand Force	Mold Breaker	110	135	60	50	65	88	508	89.1 lbs.	2'04"			Subterrene Pokémon	0.5	0.5	Drilbur	Field	#N/A	Ground / Steel	Sand Rush / Sand Force / Mold Breaker*
Audino	531	531	Audino	Audino	Normal	#N/A	Healer	Regenerator	Klutz	103	60	86	60	86	50	445	68.3 lbs.	3'07"			Hearing Pokémon	0.5	0.5	#N/A	Fairy	#N/A	Normal	Healer / Regenerator / Klutz*
Timburr	532	532	Timburr	Timburr	Fighting	#N/A	Guts	Sheer Force	Iron Fist	75	80	55	25	35	35	305	27.6 lbs.	2'00"			Muscular Pokémon	0.75	0.25	#N/A	Human-Like	#N/A	Fighting	Guts / Sheer Force / Iron Fist*
Gurdurr	533	533	Gurdurr	Gurdurr	Fighting	#N/A	Guts	Sheer Force	Iron Fist	85	105	85	40	50	40	405	88.2 lbs.	3'11"			Muscular Pokémon	0.75	0.25	Timburr	Human-Like	#N/A	Fighting	Guts / Sheer Force / Iron Fist*
Conkeldurr	534	534	Conkeldurr	Conkeldurr	Fighting	#N/A	Guts	Sheer Force	Iron Fist	105	140	95	55	65	45	505	191.8 lbs.	4'07"			Muscular Pokémon	0.75	0.25	Gurdurr	Human-Like	#N/A	Fighting	Guts / Sheer Force / Iron Fist*
Tympole	535	535	Tympole	Tympole	Water	#N/A	Swift Swim	Hydration	Water Absorb	50	50	40	50	40	64	294	9.9 lbs.	1'08"			Tadpole Pokémon	0.5	0.5	#N/A	Water 1	#N/A	Water	Swift Swim / Hydration / Water Absorb*
Palpitoad	536	536	Palpitoad	Palpitoad	Water	Ground	Swift Swim	Hydration	Water Absorb	75	65	55	65	55	69	384	37.5 lbs.	2'07"			Vibration Pokémon	0.5	0.5	Tympole	Water 1	#N/A	Water / Ground	Swift Swim / Hydration / Water Absorb*
Seismitoad	537	537	Seismitoad	Seismitoad	Water	Ground	Swift Swim	Poison Touch	Water Absorb	105	95	75	85	75	74	509	136.7 lbs.	4'11"			Vibration Pokémon	0.5	0.5	Palpitoad	Water 1	#N/A	Water / Ground	Swift Swim / Poison Touch / Water Absorb*
Throh	538	538	Throh	Throh	Fighting	#N/A	Guts	Inner Focus	Mold Breaker	120	100	85	30	85	45	465	122.4 lbs.	4'03"			Judo Pokémon	1	0	#N/A	Human-Like	#N/A	Fighting	Guts / Inner Focus / Mold Breaker*
Sawk	539	539	Sawk	Sawk	Fighting	#N/A	Sturdy	Inner Focus	Mold Breaker	75	125	75	30	75	85	465	112.4 lbs.	4'07"			Karate Pokémon	1	0	#N/A	Human-Like	#N/A	Fighting	Sturdy / Inner Focus / Mold Breaker*
Sewaddle	540	540	Sewaddle	Sewaddle	Bug	Grass	Swarm	Chlorophyll	Overcoat	45	53	70	40	60	42	310	5.5 lbs.	1'00"			Sewing Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug / Grass	Swarm / Chlorophyll / Overcoat*
Swadloon	541	541	Swadloon	Swadloon	Bug	Grass	Leaf Guard	Chlorophyll	Overcoat	55	63	90	50	80	42	380	16.1 lbs.	1'08"			Leaf-Wrapped Pokémon	0.5	0.5	Sewaddle	Bug	#N/A	Bug / Grass	Leaf Guard / Chlorophyll / Overcoat*
Leavanny	542	542	Leavanny	Leavanny	Bug	Grass	Swarm	Chlorophyll	Overcoat	75	103	80	70	80	92	500	45.2 lbs.	3'11"			Nurturing Pokémon	0.5	0.5	Swadloon	Bug	#N/A	Bug / Grass	Swarm / Chlorophyll / Overcoat*
Venipede	543	543	Venipede	Venipede	Bug	Poison	Poison Point	Swarm	Speed Boost	30	45	59	30	39	57	260	11.7 lbs.	1'04"			Centipede Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug / Poison	Poison Point / Swarm / Speed Boost*
Whirlipede	544	544	Whirlipede	Whirlipede	Bug	Poison	Poison Point	Swarm	Speed Boost	40	55	99	40	79	47	360	129.0 lbs.	3'11"			Curlipede Pokémon	0.5	0.5	Venipede	Bug	#N/A	Bug / Poison	Poison Point / Swarm / Speed Boost*
Scolipede	545	545	Scolipede	Scolipede	Bug	Poison	Poison Point	Swarm	Speed Boost	60	100	89	55	69	112	485	442.0 lbs.	8'02"			Megapede Pokémon	0.5	0.5	Whirlipede	Bug	#N/A	Bug / Poison	Poison Point / Swarm / Speed Boost*
Cottonee	546	546	Cottonee	Cottonee	Grass	Fairy	Prankster	Infiltrator	Chlorophyll	40	27	60	37	50	66	280	1.3 lbs.	1'00"	When it finds others of its kind, they all stick together. When enough of them have collected, the mass resembles a cumulonimbus cloud.	Pillows and beds stuffed with cotton exhaled by Cottonee are soft and puffy, light and airy— altogether top quality.	Cotton Puff Pokémon	0.5	0.5	#N/A	Grass	Fairy	Grass / Fairy	Prankster / Infiltrator / Chlorophyll*
Whimsicott	547	547	Whimsicott	Whimsicott	Grass	Fairy	Prankster	Infiltrator	Chlorophyll	60	67	85	77	75	116	480	14.6 lbs.	2'04"	It rides on the wind and slips into people's homes. After it has turned a room into a cotton- filled mess, it giggles to itself and takes off.	This Pokémon appears, riding upon the wind. But if the wind gusts up, it'll blow the cotton on this Pokémon's head clean off.	Windveiled Pokémon	0.5	0.5	Cottonee	Grass	Fairy	Grass / Fairy	Prankster / Infiltrator / Chlorophyll*
Petilil	548	548	Petilil	Petilil	Grass	#N/A	Chlorophyll	Own Tempo	Leaf Guard	45	35	50	70	50	30	280	14.6 lbs.	1'08"	Although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness—even more so when boiled.	By pruning the leaves on its head with regularity, this Pokémon can be grown into a fine plump shape.	Bulb Pokémon	0	1	#N/A	Grass	#N/A	Grass	Chlorophyll / Own Tempo / Leaf Guard*
Lilligant	549	549	Lilligant	Lilligant	Grass	#N/A	Chlorophyll	Own Tempo	Leaf Guard	70	60	75	110	75	90	480	35.9 lbs.	3'07"	No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild.	As soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away.	Flowering Pokémon	0	1	Petilil	Grass	#N/A	Grass	Chlorophyll / Own Tempo / Leaf Guard*
Basculin (Red-Striped Form)	550	550	Basculin	Basculin (Red-Striped Form)	Water	#N/A	Reckless	Adaptability	Mold Breaker	70	92	65	80	55	98	460	39.7 lbs.	3'03"			Hostile Pokémon	0.5	0.5	#N/A	Water 2	#N/A	Water	Reckless / Adaptability / Mold Breaker*
Sandile	551	551	Sandile	Sandile	Ground	Dark	Intimidate	Moxie	Anger Point	50	72	35	35	35	65	292	33.5 lbs.	2'04"	It submerges itself in sand and moves as if swimming. This wise behavior keeps its enemies from finding it and maintains its temperature.	It conceals itself in the sand and chomps down on the legs of any prey that unwarily walk over it. Its favorite food is Trapinch.	Desert Croc Pokémon	0.5	0.5	#N/A	Field	#N/A	Ground / Dark	Intimidate / Moxie / Anger Point*
Krokorok	552	552	Krokorok	Krokorok	Ground	Dark	Intimidate	Moxie	Anger Point	60	82	45	45	45	74	351	73.6 lbs.	3'03"	They move in groups of a few individuals. A female is often the leader of the group, and the males will gather food.	Thanks to the special membrane covering its eyes, it can see its surroundings clearly, even in the middle of the night.	Desert Croc Pokémon	0.5	0.5	Sandile	Field	#N/A	Ground / Dark	Intimidate / Moxie / Anger Point*
Krookodile	553	553	Krookodile	Krookodile	Ground	Dark	Intimidate	Moxie	Anger Point	95	117	80	65	70	92	519	212.3 lbs.	4'11"	Its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm.	After clamping down with its powerful jaws, it twists its body around to rip its prey in half.	Intimidation Pokémon	0.5	0.5	Krokorok	Field	#N/A	Ground / Dark	Intimidate / Moxie / Anger Point*
Darumaka	554	554	Darumaka	Darumaka	Fire	#N/A	Hustle	#N/A	Inner Focus	70	90	45	15	45	50	315	82.7 lbs.	2'00"			Zen Charm Pokémon	0.5	0.5	#N/A	Field	#N/A	Fire	Hustle / Inner Focus*
Darmanitan	555	555	Darmanitan	Darmanitan (Standard Mode)	Fire	#N/A	Sheer Force	#N/A	Zen Mode	105	140	55	30	55	95	480	204.8 lbs.	4'03"			Blazing Pokémon	0.5	0.5	Darumaka	Field	#N/A	Fire	Sheer Force / Zen Mode*
Maractus	556	556	Maractus	Maractus	Grass	#N/A	Water Absorb	Chlorophyll	Storm Drain	75	86	67	106	67	60	461	61.7 lbs.	3'03"			Cactus Pokémon	0.5	0.5	#N/A	Grass	#N/A	Grass	Water Absorb / Chlorophyll / Storm Drain*
Dwebble	557	557	Dwebble	Dwebble	Bug	Rock	Sturdy	Shell Armor	Weak Armor	50	65	85	35	35	55	325	32.0 lbs.	1'00"			Rock Inn Pokémon	0.5	0.5	#N/A	Bug	Mineral	Bug / Rock	Sturdy / Shell Armor / Weak Armor*
Crustle	558	558	Crustle	Crustle	Bug	Rock	Sturdy	Shell Armor	Weak Armor	70	105	125	65	75	45	485	440.9 lbs.	4'07"			Stone Home Pokémon	0.5	0.5	Dwebble	Bug	Mineral	Bug / Rock	Sturdy / Shell Armor / Weak Armor*
Scraggy	559	559	Scraggy	Scraggy	Dark	Fighting	Shed Skin	Moxie	Intimidate	50	75	70	35	70	48	348	26.0 lbs.	2'00"			Shedding Pokémon	0.5	0.5	#N/A	Field	Dragon	Dark / Fighting	Shed Skin / Moxie / Intimidate*
Scrafty	560	560	Scrafty	Scrafty	Dark	Fighting	Shed Skin	Moxie	Intimidate	65	90	115	45	115	58	488	66.1 lbs.	3'07"			Hoodlum Pokémon	0.5	0.5	Scraggy	Field	Dragon	Dark / Fighting	Shed Skin / Moxie / Intimidate*
Sigilyph	561	561	Sigilyph	Sigilyph	Psychic	Flying	Wonder Skin	Magic Guard	Tinted Lens	72	58	80	103	80	97	490	30.9 lbs.	4'07"			Avianoid Pokémon	0.5	0.5	#N/A	Flying	#N/A	Psychic / Flying	Wonder Skin / Magic Guard / Tinted Lens*
Yamask	562	562	Yamask	Yamask	Ghost	#N/A	Mummy	#N/A	#N/A	38	30	85	55	65	30	303	3.3 lbs.	1'08"			Spirit Pokémon	0.5	0.5	#N/A	Mineral	Amorphous	Ghost	Mummy
Cofagrigus	563	563	Cofagrigus	Cofagrigus	Ghost	#N/A	Mummy	#N/A	#N/A	58	50	145	95	105	30	483	168.7 lbs.	5'07"			Coffin Pokémon	0.5	0.5	Yamask	Mineral	Amorphous	Ghost	Mummy
Tirtouga	564	564	Tirtouga	Tirtouga	Water	Rock	Solid Rock	Sturdy	Swift Swim	54	78	103	53	45	22	355	36.4 lbs.	2'04"	Based on studies of its skeletal structure, it can apparently dive to ocean depths of over half a mile.	Reputed to be the ancestor of most turtle Pokémon, it lived in warm seas approximately a hundred million years ago.	Prototurtle Pokémon	0.875	0.125	#N/A	Water 1	Water 3	Water / Rock	Solid Rock / Sturdy / Swift Swim*
Carracosta	565	565	Carracosta	Carracosta	Water	Rock	Solid Rock	Sturdy	Swift Swim	74	108	133	83	65	32	495	178.6 lbs.	3'11"	It constructed its sturdy shell by crunching and swallowing the hard shells or bones of its prey.	Active both on land and in the sea, this Pokémon drags its land-based prey into the water to finish it off.	Prototurtle Pokémon	0.875	0.125	Tirtouga	Water 1	Water 3	Water / Rock	Solid Rock / Sturdy / Swift Swim*
Archen	566	566	Archen	Archen	Rock	Flying	Defeatist	#N/A	#N/A	55	112	45	74	45	70	401	20.9 lbs.	1'08"	It is the ancestor of all bird Pokémon. Archen itself could not actually fly but moved by hopping from treetop to treetop.	To all appearances flightless, it was able to glide down from tall treetops to snag its prey.	First Bird Pokémon	0.875	0.125	#N/A	Flying	Water 3	Rock / Flying	Defeatist
Archeops	567	567	Archeops	Archeops	Rock	Flying	Defeatist	#N/A	#N/A	75	140	65	112	65	110	567	70.5 lbs.	4'07"	Although apparently able to fly, they tended to run along the ground, averaging speeds of roughly 25 mph.	They hunted in flocks. When one Archeops had the prey cornered, another would swoop on it.	First Bird Pokémon	0.875	0.125	Archen	Flying	Water 3	Rock / Flying	Defeatist
Trubbish	568	568	Trubbish	Trubbish	Poison	#N/A	Stench	Sticky Hold	Aftermath	50	50	62	40	62	65	329	68.3 lbs.	2'00"	Unsanitary places are what they like best. They can be spotted in Alola, often with Grimer in hot pursuit.	It gorges on trash until its stomach is full. Then it belches toxic gas. An unlucky whiff of gas will put a person in the hospital.	Trash Bag Pokémon	0.5	0.5	#N/A	Mineral	#N/A	Poison	Stench / Sticky Hold / Aftermath*
Garbodor	569	569	Garbodor	Garbodor	Poison	#N/A	Stench	Weak Armor	Aftermath	80	95	82	60	82	75	474	236.6 lbs.	6'03"	Beware the poisonous liquid it shoots from its right arm. If even a little of it gets on you, you'll experience the effects of the unidentified toxin.	For a time, their numbers increased explosively in Alola. Since the arrival of Grimer, their population has decreased dramatically.	Trash Heap Pokémon	0.5	0.5	Trubbish	Mineral	#N/A	Poison	Stench / Weak Armor / Aftermath*
Zorua	570	570	Zorua	Zorua	Dark	#N/A	Illusion	#N/A	#N/A	40	65	40	80	40	65	330	27.6 lbs.	2'04"			Tricky Fox Pokémon	0.875	0.125	#N/A	Field	#N/A	Dark	Illusion
Zoroark	571	571	Zoroark	Zoroark	Dark	#N/A	Illusion	#N/A	#N/A	60	105	60	120	60	105	510	178.8 lbs.	5'03"			Illusion Fox Pokémon	0.875	0.125	Zorua	Field	#N/A	Dark	Illusion
Minccino	572	572	Minccino	Minccino	Normal	#N/A	Cute Charm	Technician	Skill Link	55	50	40	40	40	75	300	12.8 lbs.	1'04"			Chinchilla Pokémon	0.5	0.5	#N/A	Field	#N/A	Normal	Cute Charm / Technician / Skill Link*
Cinccino	573	573	Cinccino	Cinccino	Normal	#N/A	Cute Charm	Technician	Skill Link	75	95	60	65	60	115	470	16.5 lbs.	1'08"			Scarf Pokémon	0.5	0.5	Minccino	Field	#N/A	Normal	Cute Charm / Technician / Skill Link*
Gothita	574	574	Gothita	Gothita	Psychic	#N/A	Frisk	Competitive	Shadow Tag	45	30	50	55	65	45	290	12.8 lbs.	1'04"			Fixation Pokémon	0.5	0.5	#N/A	Human-Like	#N/A	Psychic	Frisk / Competitive / Shadow Tag*
Gothorita	575	575	Gothorita	Gothorita	Psychic	#N/A	Frisk	Competitive	Shadow Tag	60	45	70	75	85	55	390	39.7 lbs.	2'04"			Manipulate Pokémon	0.5	0.5	Gothita	Human-Like	#N/A	Psychic	Frisk / Competitive / Shadow Tag*
Gothitelle	576	576	Gothitelle	Gothitelle	Psychic	#N/A	Frisk	Competitive	Shadow Tag	70	55	95	95	110	65	490	97.0 lbs.	4'11"			Astral Body Pokémon	0.5	0.5	Gothorita	Human-Like	#N/A	Psychic	Frisk / Competitive / Shadow Tag*
Solosis	577	577	Solosis	Solosis	Psychic	#N/A	Overcoat	Magic Guard	Regenerator	45	30	40	105	50	20	290	2.2 lbs.	1'00"			Cell Pokémon	0.5	0.5	#N/A	Amorphous	#N/A	Psychic	Overcoat / Magic Guard / Regenerator*
Duosion	578	578	Duosion	Duosion	Psychic	#N/A	Overcoat	Magic Guard	Regenerator	65	40	50	125	60	30	370	17.6 lbs.	2'00"			Mitosis Pokémon	0.5	0.5	Solosis	Amorphous	#N/A	Psychic	Overcoat / Magic Guard / Regenerator*
Reuniclus	579	579	Reuniclus	Reuniclus	Psychic	#N/A	Overcoat	Magic Guard	Regenerator	110	65	75	125	85	30	490	44.3 lbs.	3'03"			Multiplying Pokémon	0.5	0.5	Duosion	Amorphous	#N/A	Psychic	Overcoat / Magic Guard / Regenerator*
Ducklett	580	580	Ducklett	Ducklett	Water	Flying	Keen Eye	Big Pecks	Hydration	62	44	50	44	50	55	305	12.1 lbs.	1'08"			Water Bird Pokémon	0.5	0.5	#N/A	Water 1	Flying	Water / Flying	Keen Eye / Big Pecks / Hydration*
Swanna	581	581	Swanna	Swanna	Water	Flying	Keen Eye	Big Pecks	Hydration	75	87	63	87	63	98	473	53.4 lbs.	4'03"			White Bird Pokémon	0.5	0.5	Ducklett	Water 1	Flying	Water / Flying	Keen Eye / Big Pecks / Hydration*
Vanillite	582	582	Vanillite	Vanillite	Ice	#N/A	Ice Body	Snow Cloak	Weak Armor	36	50	50	65	60	44	305	12.6 lbs.	1'04"	Born of an icicle, this Pokémon uses its frosty breath to make ice crystals, causing snow to fall.	It feels pleasantly cool when embraced. This Pokémon is treasured by households in warm regions.	Fresh Snow Pokémon	0.5	0.5	#N/A	Mineral	#N/A	Ice	Ice Body / Snow Cloak / Weak Armor*
Vanillish	583	583	Vanillish	Vanillish	Ice	#N/A	Ice Body	Snow Cloak	Weak Armor	51	65	65	80	75	59	395	90.4 lbs.	3'07"	Hot days cause its body to melt. It can be restored by refreezing it, but the process leaves its body slightly warped.	This Pokémon has existed since the Ice Age. It controls particles of ice, freezes its opponents, and then shatters them with a headbutt.	Icy Snow Pokémon	0.5	0.5	Vanillite	Mineral	#N/A	Ice	Ice Body / Snow Cloak / Weak Armor*
Vanilluxe	584	584	Vanilluxe	Vanilluxe	Ice	#N/A	Ice Body	Snow Warning	Weak Armor	71	95	85	110	95	79	535	126.8 lbs.	4'03"	Each of its two heads has a brain, and when they are in agreement, it attacks its enemies by exhaling a violent blizzard.	Even if it loses one of its heads, it can live relatively problem-free. It makes snow clouds inside its body.	Snowstorm Pokémon	0.5	0.5	Vanillish	Mineral	#N/A	Ice	Ice Body / Snow Warning / Weak Armor*
Deerling	585	585	Deerling	Deerling (Spring Form)	Normal	Grass	Chlorophyll	Sap Sipper	Serene Grace	60	60	50	40	50	75	335	43.0 lbs.	2'00"			Season Pokémon	0.5	0.5	#N/A	Field	#N/A	Normal / Grass	Chlorophyll / Sap Sipper / Serene Grace*
Sawsbuck	586	586	Sawsbuck	Sawsbuck (Spring Form)	Normal	Grass	Chlorophyll	Sap Sipper	Serene Grace	80	100	70	60	70	95	475	203.9 lbs.	6'03"			Season Pokémon	0.5	0.5	Deerling	Field	#N/A	Normal / Grass	Chlorophyll / Sap Sipper / Serene Grace*
Emolga	587	587	Emolga	Emolga	Electric	Flying	Static	#N/A	Motor Drive	55	75	60	75	60	103	428	11.0 lbs.	1'04"	It glides using its cape-like membrane. Electrical energy scatters from it, shocking its friends and foes alike.	It grills berries and bug Pokémon with electric shocks and makes a meal of them. It usually nests in the holes gouged in trees by Pikipek.	Sky Squirrel Pokémon	0.5	0.5	#N/A	Field	#N/A	Electric / Flying	Static / Motor Drive*
Karrablast	588	588	Karrablast	Karrablast	Bug	#N/A	Swarm	Shed Skin	No Guard	50	75	45	40	45	60	315	13.0 lbs.	1'08"			Clamping Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug	Swarm / Shed Skin / No Guard*
Escavalier	589	589	Escavalier	Escavalier	Bug	Steel	Swarm	Shell Armor	Overcoat	70	135	105	60	105	20	495	72.8 lbs.	3'03"			Cavalry Pokémon	0.5	0.5	Karrablast	Bug	#N/A	Bug / Steel	Swarm / Shell Armor / Overcoat*
Foongus	590	590	Foongus	Foongus	Grass	Poison	Effect Spore	#N/A	Regenerator	69	55	45	55	55	15	294	2.2 lbs.	0'08"			Mushroom Pokémon	0.5	0.5	#N/A	Grass	#N/A	Grass / Poison	Effect Spore / Regenerator*
Amoonguss	591	591	Amoonguss	Amoonguss	Grass	Poison	Effect Spore	#N/A	Regenerator	114	85	70	85	80	30	464	23.1 lbs.	2'00"			Mushroom Pokémon	0.5	0.5	Foongus	Grass	#N/A	Grass / Poison	Effect Spore / Regenerator*
Frillish	592	592	Frillish	Frillish	Water	Ghost	Water Absorb	Cursed Body	Damp	55	40	50	65	85	40	335	72.8 lbs.	3'11"			Floating Pokémon	0.5	0.5	#N/A	Amorphous	#N/A	Water / Ghost	Water Absorb / Cursed Body / Damp*
Jellicent	593	593	Jellicent	Jellicent	Water	Ghost	Water Absorb	Cursed Body	Damp	100	60	70	85	105	60	480	297.6 lbs.	7'03"			Floating Pokémon	0.5	0.5	Frillish	Amorphous	#N/A	Water / Ghost	Water Absorb / Cursed Body / Damp*
Alomomola	594	594	Alomomola	Alomomola	Water	#N/A	Healer	Hydration	Regenerator	165	75	80	40	45	65	470	69.7 lbs.	3'11"	It uses its special mucus to close the wounds of injured Pokémon. The reason for this behavior remains unknown.	They float upon the open sea. Many water Pokémon gather in the area around Alomomola.	Caring Pokémon	0.5	0.5	#N/A	Water 1	Water 2	Water	Healer / Hydration / Regenerator*
Joltik	595	595	Joltik	Joltik	Bug	Electric	Compound Eyes	Unnerve	Swarm	50	47	50	57	50	65	319	1.3 lbs.	0'04"			Attaching Pokémon	0.5	0.5	#N/A	Bug	#N/A	Bug / Electric	Compound Eyes / Unnerve / Swarm*
